Distance,Speed,RPM,Throttle,Brake,nGear,Driver
1422.778333333332,114.0,11781.0,99.0,False,2,LEC
1431.5783333333322,132.0,10293.0,99.0,False,3,LEC
1439.578333333332,144.0,11383.0,99.0,False,3,LEC
1451.6338888888877,155.0,10917.0,99.0,False,3,LEC
1458.5227777777768,155.0,10557.0,99.0,False,4,LEC
1470.1894444444433,175.0,11140.0,99.0,False,4,LEC
1480.633888888888,188.0,11943.0,99.0,False,4,LEC
1500.5891666666655,199.0,10822.0,99.0,False,5,LEC
1514.522499999999,209.0,11295.0,99.0,False,5,LEC
1533.8397222222213,218.0,11629.0,99.0,False,5,LEC
1546.2841666666654,224.0,11619.0,99.0,False,5,LEC
1569.5841666666654,233.0,10744.0,99.0,False,6,LEC
1585.4508333333322,238.0,10930.0,99.0,False,6,LEC
1601.5841666666656,242.0,11212.0,99.0,False,6,LEC
1618.0508333333323,247.0,11441.0,99.0,False,6,LEC
1637.650833333332,252.0,11527.0,99.0,False,6,LEC
1648.9397222222212,254.0,11641.0,99.0,False,6,LEC
1660.3174999999987,256.0,11792.0,99.0,False,6,LEC
1677.6508333333322,260.0,10381.0,99.0,False,6,LEC
1698.106388888888,263.0,10596.0,99.0,False,7,LEC
1721.6619444444436,265.0,10731.0,99.0,False,7,LEC
1733.52861111111,267.0,10773.0,99.0,False,7,LEC
1757.52861111111,270.0,10863.0,99.0,False,7,LEC
1778.7619444444433,273.0,10950.0,99.0,False,7,LEC
1797.0952777777768,275.0,11071.0,99.0,False,7,LEC
1812.539722222221,278.0,11092.0,99.0,False,7,LEC
1837.4286111111098,280.0,11059.0,99.0,False,7,LEC
1859.2841666666654,281.0,11388.0,99.0,False,7,LEC
1878.2841666666657,285.0,11422.0,99.0,False,7,LEC
1897.3508333333325,286.0,11467.0,99.0,False,7,LEC
1919.595277777777,286.0,11515.0,99.0,False,7,LEC
1932.3952777777768,288.0,11558.0,99.0,False,7,LEC
1966.572777777777,279.0,10579.0,5.0,True,7,LEC
1992.9727777777769,216.0,10255.0,0.0,True,7,LEC
2008.5683333333325,176.0,11042.0,0.0,True,7,LEC
2021.8683333333324,133.0,10557.0,0.0,True,7,LEC
2029.8683333333322,120.0,9456.0,0.0,True,5,LEC
2038.1127777777767,106.0,8807.0,0.0,True,2,LEC
2050.112777777777,90.0,7411.0,0.0,True,2,LEC
2053.890555555555,85.0,7389.0,0.0,True,2,LEC
2058.390555555555,81.0,7036.0,0.0,True,2,LEC
2063.5905555555546,78.0,5963.0,0.0,True,2,LEC
2067.5905555555546,72.0,5678.0,7.0,False,2,LEC
2073.812777777777,70.0,6338.0,30.0,False,2,LEC
2078.74611111111,74.0,6338.0,30.0,False,2,LEC
2083.134999999999,79.0,7485.0,58.0,False,2,LEC
2091.134999999999,90.0,8572.0,71.0,False,2,LEC
2095.134999999999,90.0,9070.0,72.0,False,2,LEC
2108.134999999999,117.0,11422.0,99.0,False,2,LEC
2123.6905555555545,140.0,11255.0,99.0,False,3,LEC
2130.4016666666657,151.0,10909.0,99.0,False,3,LEC
2137.5572222222213,161.0,11189.0,99.0,False,3,LEC
2152.6683333333326,170.0,10512.0,99.0,False,4,LEC
2171.3683333333324,187.0,11752.0,99.0,False,4,LEC
2180.0349999999994,195.0,12056.0,99.0,False,4,LEC
2193.234999999999,198.0,11210.0,99.0,False,5,LEC
2209.704722222222,211.0,11333.0,99.0,False,5,LEC
2232.004722222222,223.0,11740.0,99.0,False,5,LEC
2247.2713888888884,229.0,12265.0,99.0,False,5,LEC
2257.493611111111,230.0,12462.0,99.0,False,5,LEC
2286.2725,236.0,11183.0,15.0,True,5,LEC
2304.139166666667,201.0,11700.0,9.0,True,5,LEC
2316.6058333333335,187.0,11740.0,16.0,True,4,LEC
2330.5280555555555,179.0,11220.0,62.0,False,4,LEC
